机型,IMEI,日期,类别,描述
X Flip,f4d3c8815c34764f6a39ddf816106424,2023-4-28,续航赛道,需要我过去做什么么？或者我转账给你你闪送来;卡针有没有;带个卡针;尾款多少;中国联通大厦北门收发室;王龙霄 155***9492;太忙了走不开;手机电量能有多少;手机壳有送的是吧;一起装着过来就好;ok;不用了;嗯嗯
X Flip,6ef41eaacea279abdb33606f13ef5d3f,2023-4-28,内置程序,左边这个吧;现在都可;711便利店门口等哈;好;在哪？;发照片给我看看;这里只有左拐;这里只走左拐;就你一开始拍摄的方向;你好;我想问一下;那个指纹解锁的侧键是锁屏键来的吧？;为啥我按了没反应;就是按了不锁屏;刚重启了3、4次了;现在又能锁了;又看到，就刚更新了;好的！;刚说完，又重启了;对的;不知道诶;我再研究一下;我在换机，换着换着又重启了;尴尬;不理解;哈哈哈哈晚点吧;我要午休了;好的;我觉得是换机有问题;换到30%左右又重启了;费解;互传;我看到是手机自带的;对吧;但就是疯狂重启;可以;我再换一次试试;emmm我怀疑是互传出问题了;打算;试试;就在我重置的时候 还没重置好，又重启了;重启后 啥都没变;我再试最后一次哈哈哈;应该是新系统问题;如果这问题持续怎么搞;重置了，现在在互传;没了;导入成功了;哈哈哈哈;我也被吓到了;[捂脸][捂脸]刚说完;又重启了两次;不知道是啥问题;我就备份微信的东西;赶紧修复吧[捂脸][捂脸];估计还要重启几次[捂脸][捂脸];你店里其他用户有没有这个问题;成功导入后重启第五次了;害;我先不导入聊天记录吧;看看用几天还会不会因为其他原因重启;还没试;我用一天试试先;不行，又重启了;啊啊啊啊！疯了;我就在设置手机;锁不了屏;然后就重启了;[生病];放弃了;搞不来;好;我没碰手机，它也自己重启了;我怀疑是主板出问题了;有;好的;就在我输入锁屏密码的片刻，又重启了;正常10%的电要冲多久;我看看 感觉冲的很慢;自己闪着闪着就重启了;哈哈哈哈;很迷;好的，注意安全;有没有可能是电池问题;快充充不进去，很慢;因为刚才充电的时候发烫很厉害;好的;来了;好，我假期试试
X Flip,23d3f4919208d9414173c58c0869f47b,2023-4-28,内置程序,主题不错
X Flip,839735255dfbf22029d39a83712e5623,2023-4-28,内置程序,imei码：*** 1、问题现象及复现步骤：X Flip外屏上面没有小红书，很多软件都没有，在设置里面外屏桌面管理里面也没有添加小红书的选项，卸载重装重启升级还原无效，抓通用 2、问题出现次数：必现 3、第三方应用名称：小红书 4、第三方应用版本号：7.85.0.1 5、应用下载途径：应用商店 8、系统版本号：.W10 9、问题录屏/截图/文件是否提供（已和Log一起上传、单独提供则添加到附件）10、Log提取码11、服务码(没有就不填写) 12、抓Log时问题出现时间点(精确到分)13、是否有承诺回复（承诺回复需备注回复时间）：
X Flip,dd6330b527a900c07a3186214c6c4478,2023-4-28,性能赛道,这样么;哈哈哈还有一个视频没过去呢;咱俩还视频嘛;网卡;好;然后嘞;这样么;这样;么;需要插卡对么;okok;这样？;OK;好嘞 辛苦了
X Flip,7e0c84cfd453e0326a7e6e520fdfb78d,2023-4-28,内置程序,我是九十岁带氧写文(微信要交手续费);[微笑][微笑];你好;我咋看不到;他发的消息;都是白的;[疑问][疑问][疑问];他那块显示的有;这个录屏在哪里;？;我能看见;就他不行;好怪啊;[转圈][转圈][转圈];猫猫在哪养;就是屏上的;[疑问][疑问];没用;[流泪][流泪][流泪];好的
X Flip,ff53b8df10fa9b8c6f3885d5d477234a,2023-4-28,内置程序,一会来;店里相机自拍是不是调过设置啊
X Flip,6d33b7d1a79948b861b1323464f85905,2023-4-28,内置程序,您把负责办理手机卡那姐姐电话发我吧;发短信应该不行，他让我自己手写一个申请书
X Flip,551ed7121e8af5d0395b382e9ba502a6,2023-4-28,内置程序,;通讯录和照片怎么导啊;[OK];行我自己研究下，我飞机落地太晚了，如果整不明白，明天白天联系下。
X Flip,54767342de2eee15d18975a63983d19c,2023-4-28,内置程序,用户来电表示手机外面小屏微信是横屏，魔镜添加的软件在外屏都显示的是竖屏，怎么设置为横屏。跟咨询专员核实没建议。告知用户，其不接受，表示购买机器就是为了晚上玩手机的时候会小一点，表示要投诉这个问题，来电要求处理这个问题，要么退机，要么换其他机器。
X Flip,c794212bb922564d4236eaaf99f248f6,2023-4-28,内置程序,喜欢壁纸
X Flip,de6eb3d88131fcab97da26d414bf35b7,2023-4-28,性能赛道,我就想要我定的那款;今天没有办法给我的话，200退我吧;好的;没事;好的;看来很抢手啊;我就比较喜欢紫色;内存太小;137***3923;对;收到了;OK
X Flip,5ee6e3ef91ab1af45c892871c3f68b26,2023-4-28,内置程序,我等我老公大概11点几;支付宝可否用我手机登录;可以的，我就一阵过去;我想问一下镜头有无屏保？;要自己买？;不是;这个[汗]
